external_owner_id,first_name,last_name,business_name,is_business_account,email_primary,email_secondary,phone_primary,phone_secondary,city,province,country,nationality,language
699ece77bb6770d52ec69530,,,,0,,,,,Parcent,Alicante,Spain,British,en
69247e85485654a697f0bb3f,,,,0,,,,,Pedreguer,Alicante,Spain,Spanish,es
69247e6d7f9fef26201d9d3c,,,,0,,,,,Javea,Alicante,Spain,British,en
69247e807f9fef26201df12c,,,,0,,,,,Denia,Alicante,Spain,German,en
69247e747f9fef26201dba1b,,,,0,,,,,Javea,Alicante,Spain,British,en
69247e73485654a697f060cb,,,,0,,,,,London,Surrey,United Kingdom,British,en
69247e7e485654a697f0b1d9,,,,0,,,,,Javea,Alicante,Spain,British,en
69247e7a485654a697f0a7c0,,,,0,,,,,Denia,Alicante,Spain,German,en
69413b641f8ba958b9e42836,,,,0,,,,,Ondara,Alicante,Spain,Spanish,es
69247e817f9fef26201df28c,,,,0,,,,,Crowborough,East Sussex,United Kingdom,British,en
69247e83485654a697f0b987,,,,0,,,,,Denia,Alicante,Spain,Spanish,es
69247e7d485654a697f0b181,,,,0,,,,,Witterswil,Soleura,Switzerland,Swiss,en
69247e687f9fef26201d953c,,,,0,,,,,Madrid,Madrid,Spain,Spanish,es
69247e767f9fef26201dbc1d,,,,1,,,,,Moraira,Alicante,Spain,Spanish,en
69247e677f9fef26201d90b0,,,,0,,,,,Javea,Alicante,Spain,Belgian,en
69247e87485654a697f0beaf,,,,0,,,,,Denia,Alicante,Spain,French,es
69247e6e485654a697f04b8c,,,,0,,,,,Moraira,Alicante,Spain,British,en
69247e87485654a697f0be57,,,,0,,,,,Ashford,Middlesex,United Kingdom,British,en
69247e82485654a697f0b8d7,,,,0,,,,,Javea,Alicante,Spain,British,en
69247e76485654a697f06480,,,,0,,,,,Jalón,Alicante,Spain,Algerian,en
69247e62485654a697f01c77,,,,0,,,,,Llosa de Camacho,Alicante,Spain,Dutch,en
69247e7c7f9fef26201de904,,,,0,,,,,Pedreguer,Alicante,Spain,British,en
69247e747f9fef26201db9c3,,,,0,,,,,Rafol D' Almunia,Alicante,Spain,British,en
69247e857f9fef26201dfafb,,,,0,,,,,Pedreguer,Alicante,Spain,German,en
69247e65485654a697f01ff6,,,,0,,,,,Ondara,Alicante,Spain,Irish,en
69247e807f9fef26201df0d4,,,,0,,,,,Javea,Alicante,Spain,Spanish,es
